,State,Year,Quarter,Transaction_type,Transaction_count,Transaction_amount
0,Andaman & Nicobar,2018,1,Recharge & bill payments,4200,1845307
1,Andaman & Nicobar,2018,1,Peer-to-peer payments,1871,12138655
2,Andaman & Nicobar,2018,1,Merchant payments,298,452507
3,Andaman & Nicobar,2018,1,Financial Services,33,10601
4,Andaman & Nicobar,2018,1,Others,256,184690
5,Andaman & Nicobar,2018,2,Recharge & bill payments,6735,2320945
6,Andaman & Nicobar,2018,2,Peer-to-peer payments,3575,24511925
7,Andaman & Nicobar,2018,2,Merchant payments,603,1024491
8,Andaman & Nicobar,2018,2,Financial Services,59,121336
9,Andaman & Nicobar,2018,2,Others,368,359839
10,Andaman & Nicobar,2018,3,Recharge & bill payments,8636,4343505
11,Andaman & Nicobar,2018,3,Peer-to-peer payments,6448,49270782
12,Andaman & Nicobar,2018,3,Merchant payments,945,1627360
13,Andaman & Nicobar,2018,3,Financial Services,42,1481
14,Andaman & Nicobar,2018,3,Others,194,314343
15,Andaman & Nicobar,2018,4,Recharge & bill payments,11517,5450550
16,Andaman & Nicobar,2018,4,Peer-to-peer payments,10451,81001457
17,Andaman & Nicobar,2018,4,Merchant payments,1421,3552028
18,Andaman & Nicobar,2018,4,Financial Services,29,76036
19,Andaman & Nicobar,2018,4,Others,340,468266
20,Andaman & Nicobar,2019,1,Recharge & bill payments,15263,6611460
21,Andaman & Nicobar,2019,1,Peer-to-peer payments,13119,91808346
22,Andaman & Nicobar,2019,1,Merchant payments,1759,3266590
23,Andaman & Nicobar,2019,1,Financial Services,62,116250
24,Andaman & Nicobar,2019,1,Others,283,497095
25,Andaman & Nicobar,2019,2,Recharge & bill payments,14676,7242448
26,Andaman & Nicobar,2019,2,Peer-to-peer payments,14481,107525359
27,Andaman & Nicobar,2019,2,Merchant payments,4031,4702153
28,Andaman & Nicobar,2019,2,Financial Services,124,113279
29,Andaman & Nicobar,2019,2,Others,377,671471
30,Andaman & Nicobar,2019,3,Recharge & bill payments,16219,8171738
31,Andaman & Nicobar,2019,3,Peer-to-peer payments,13767,101079821
32,Andaman & Nicobar,2019,3,Merchant payments,3519,4428735
33,Andaman & Nicobar,2019,3,Financial Services,50,158858
34,Andaman & Nicobar,2019,3,Others,215,232625
35,Andaman & Nicobar,2019,4,Peer-to-peer payments,18128,121493224
36,Andaman & Nicobar,2019,4,Recharge & bill payments,13851,9538691
37,Andaman & Nicobar,2019,4,Merchant payments,2920,5247500
38,Andaman & Nicobar,2019,4,Financial Services,60,295937
39,Andaman & Nicobar,2019,4,Others,200,263178
40,Andaman & Nicobar,2020,1,Peer-to-peer payments,18324,142332402
41,Andaman & Nicobar,2020,1,Recharge & bill payments,18268,10850414
42,Andaman & Nicobar,2020,1,Merchant payments,4424,7752872
43,Andaman & Nicobar,2020,1,Financial Services,66,208232
44,Andaman & Nicobar,2020,1,Others,216,332393
45,Andaman & Nicobar,2020,2,Recharge & bill payments,38125,17659623
46,Andaman & Nicobar,2020,2,Peer-to-peer payments,20303,141728758
47,Andaman & Nicobar,2020,2,Merchant payments,4004,9236376
48,Andaman & Nicobar,2020,2,Financial Services,175,706932
49,Andaman & Nicobar,2020,2,Others,355,313313
50,Andaman & Nicobar,2020,3,Recharge & bill payments,59310,24756221
51,Andaman & Nicobar,2020,3,Peer-to-peer payments,40697,289078947
52,Andaman & Nicobar,2020,3,Merchant payments,16096,22682992
53,Andaman & Nicobar,2020,3,Financial Services,572,961837
54,Andaman & Nicobar,2020,3,Others,808,539450
55,Andaman & Nicobar,2020,4,Peer-to-peer payments,81439,533316526
56,Andaman & Nicobar,2020,4,Recharge & bill payments,80811,33710031
57,Andaman & Nicobar,2020,4,Merchant payments,59391,56867469
58,Andaman & Nicobar,2020,4,Financial Services,965,1880547
59,Andaman & Nicobar,2020,4,Others,1925,1508084
60,Andaman & Nicobar,2021,1,Peer-to-peer payments,105458,665391396
61,Andaman & Nicobar,2021,1,Recharge & bill payments,84119,37160923
62,Andaman & Nicobar,2021,1,Merchant payments,53090,78606979
63,Andaman & Nicobar,2021,1,Financial Services,884,1469351
64,Andaman & Nicobar,2021,1,Others,1201,1077919
65,Andaman & Nicobar,2021,2,Peer-to-peer payments,132772,748382045
66,Andaman & Nicobar,2021,2,Recharge & bill payments,120911,43691961
67,Andaman & Nicobar,2021,2,Merchant payments,85143,103707409
68,Andaman & Nicobar,2021,2,Financial Services,960,2038522
69,Andaman & Nicobar,2021,2,Others,1628,1327080
70,Andaman & Nicobar,2021,3,Peer-to-peer payments,192321,1077787837
71,Andaman & Nicobar,2021,3,Recharge & bill payments,136010,51243451
72,Andaman & Nicobar,2021,3,Merchant payments,118340,176991328
73,Andaman & Nicobar,2021,3,Financial Services,990,2351013
74,Andaman & Nicobar,2021,3,Others,2103,1650766
75,Andaman & Nicobar,2021,4,Peer-to-peer payments,285778,1544932663
76,Andaman & Nicobar,2021,4,Merchant payments,210164,322842315
77,Andaman & Nicobar,2021,4,Recharge & bill payments,135608,59243518
78,Andaman & Nicobar,2021,4,Financial Services,1718,3137965
79,Andaman & Nicobar,2021,4,Others,2855,2453640
80,Andaman & Nicobar,2022,1,Peer-to-peer payments,342649,1682328506
81,Andaman & Nicobar,2022,1,Merchant payments,284298,370091559
82,Andaman & Nicobar,2022,1,Recharge & bill payments,163401,71300134
83,Andaman & Nicobar,2022,1,Financial Services,1757,2869682
84,Andaman & Nicobar,2022,1,Others,2643,2440322
85,Andaman & Nicobar,2022,2,Merchant payments,449540,510838981
86,Andaman & Nicobar,2022,2,Peer-to-peer payments,437606,2088309073
87,Andaman & Nicobar,2022,2,Recharge & bill payments,179515,82232937
88,Andaman & Nicobar,2022,2,Financial Services,1448,2089862
89,Andaman & Nicobar,2022,2,Others,3108,2449497
90,Andaman & Nicobar,2022,3,Merchant payments,716105,693438186
91,Andaman & Nicobar,2022,3,Peer-to-peer payments,622217,2514535155
92,Andaman & Nicobar,2022,3,Recharge & bill payments,240766,97748066
93,Andaman & Nicobar,2022,3,Financial Services,1814,2166305
94,Andaman & Nicobar,2022,3,Others,3477,2744061
95,Andaman & Nicobar,2022,4,Merchant payments,956536,906365301
96,Andaman & Nicobar,2022,4,Peer-to-peer payments,768758,2961630585
97,Andaman & Nicobar,2022,4,Recharge & bill payments,256050,110037120
98,Andaman & Nicobar,2022,4,Financial Services,2499,3533987
99,Andaman & Nicobar,2022,4,Others,3692,3107412
100,Andaman & Nicobar,2023,1,Merchant payments,1122063,1008821751
