,State,Year,Quater,User_brand,User_count,User_percentage
0,Andaman & Nicobar,2018,1,Xiaomi,1665,24.70
1,Andaman & Nicobar,2018,1,Samsung,1445,21.44
2,Andaman & Nicobar,2018,1,Vivo,982,14.57
3,Andaman & Nicobar,2018,1,Oppo,501,7.43
4,Andaman & Nicobar,2018,1,OnePlus,332,4.93
5,Andaman & Nicobar,2018,1,Realme,316,4.69
6,Andaman & Nicobar,2018,1,Apple,229,3.40
7,Andaman & Nicobar,2018,1,Motorola,226,3.35
8,Andaman & Nicobar,2018,1,Lenovo,202,3.00
9,Andaman & Nicobar,2018,1,Huawei,158,2.34
10,Andaman & Nicobar,2018,1,Others,684,10.15
11,Andaman & Nicobar,2018,2,Xiaomi,2303,24.49
12,Andaman & Nicobar,2018,2,Samsung,1923,20.45
13,Andaman & Nicobar,2018,2,Vivo,1523,16.19
14,Andaman & Nicobar,2018,2,Oppo,708,7.53
15,Andaman & Nicobar,2018,2,OnePlus,466,4.95
16,Andaman & Nicobar,2018,2,Realme,465,4.94
17,Andaman & Nicobar,2018,2,Motorola,319,3.39
18,Andaman & Nicobar,2018,2,Apple,308,3.27
19,Andaman & Nicobar,2018,2,Lenovo,244,2.59
20,Andaman & Nicobar,2018,2,Huawei,230,2.45
21,Andaman & Nicobar,2018,2,Others,916,9.74
22,Andaman & Nicobar,2018,3,Xiaomi,2950,24.28
23,Andaman & Nicobar,2018,3,Samsung,2409,19.83
24,Andaman & Nicobar,2018,3,Vivo,2063,16.98
25,Andaman & Nicobar,2018,3,Oppo,988,8.13
26,Andaman & Nicobar,2018,3,OnePlus,617,5.08
27,Andaman & Nicobar,2018,3,Realme,603,4.96
28,Andaman & Nicobar,2018,3,Motorola,390,3.21
29,Andaman & Nicobar,2018,3,Apple,371,3.05
30,Andaman & Nicobar,2018,3,Huawei,314,2.58
31,Andaman & Nicobar,2018,3,Lenovo,299,2.46
32,Andaman & Nicobar,2018,3,Others,1145,9.42
33,Andaman & Nicobar,2018,4,Xiaomi,3719,24.43
34,Andaman & Nicobar,2018,4,Samsung,2936,19.29
35,Andaman & Nicobar,2018,4,Vivo,2742,18.01
36,Andaman & Nicobar,2018,4,Oppo,1268,8.33
37,Andaman & Nicobar,2018,4,Realme,760,4.99
38,Andaman & Nicobar,2018,4,OnePlus,721,4.74
39,Andaman & Nicobar,2018,4,Motorola,474,3.11
40,Andaman & Nicobar,2018,4,Apple,455,2.99
41,Andaman & Nicobar,2018,4,Huawei,398,2.61
42,Andaman & Nicobar,2018,4,Lenovo,377,2.48
43,Andaman & Nicobar,2018,4,Others,1372,9.01
44,Andaman & Nicobar,2019,1,Xiaomi,4576,24.61
45,Andaman & Nicobar,2019,1,Samsung,3567,19.18
46,Andaman & Nicobar,2019,1,Vivo,3420,18.39
47,Andaman & Nicobar,2019,1,Oppo,1600,8.60
48,Andaman & Nicobar,2019,1,Realme,897,4.82
49,Andaman & Nicobar,2019,1,OnePlus,855,4.60
50,Andaman & Nicobar,2019,1,Motorola,561,3.02
51,Andaman & Nicobar,2019,1,Apple,515,2.77
52,Andaman & Nicobar,2019,1,Huawei,515,2.77
53,Andaman & Nicobar,2019,1,Lenovo,426,2.29
54,Andaman & Nicobar,2019,1,Others,1664,8.95
55,Andaman & Nicobar,2019,2,Xiaomi,5296,24.37
56,Andaman & Nicobar,2019,2,Samsung,4165,19.17
57,Andaman & Nicobar,2019,2,Vivo,4102,18.88
58,Andaman & Nicobar,2019,2,Oppo,1905,8.77
59,Andaman & Nicobar,2019,2,Realme,1012,4.66
60,Andaman & Nicobar,2019,2,OnePlus,950,4.37
61,Andaman & Nicobar,2019,2,Huawei,644,2.96
62,Andaman & Nicobar,2019,2,Motorola,630,2.90
63,Andaman & Nicobar,2019,2,Apple,569,2.62
64,Andaman & Nicobar,2019,2,Lenovo,477,2.20
65,Andaman & Nicobar,2019,2,Others,1981,9.12
66,Andaman & Nicobar,2019,3,Xiaomi,5819,24.32
67,Andaman & Nicobar,2019,3,Vivo,4685,19.58
68,Andaman & Nicobar,2019,3,Samsung,4508,18.84
69,Andaman & Nicobar,2019,3,Oppo,2108,8.81
70,Andaman & Nicobar,2019,3,Realme,1158,4.84
71,Andaman & Nicobar,2019,3,OnePlus,1045,4.37
