,State,Year,Quarter,district,Transaction_count,Transaction_amount
0,Andaman & Nicobar,2018,1,north and middle andaman ,442,931663
1,Andaman & Nicobar,2018,1,south andaman ,5688,12560249
2,Andaman & Nicobar,2018,1,nicobars ,528,1139849
3,Andaman & Nicobar,2018,2,north and middle andaman ,825,1317863
4,Andaman & Nicobar,2018,2,south andaman ,9395,23948236
5,Andaman & Nicobar,2018,2,nicobars ,1120,3072437
6,Andaman & Nicobar,2018,3,north and middle andaman ,1283,4901530
7,Andaman & Nicobar,2018,3,south andaman ,13511,44268112
8,Andaman & Nicobar,2018,3,nicobars ,1471,6387829
9,Andaman & Nicobar,2018,4,north and middle andaman ,2137,7955636
10,Andaman & Nicobar,2018,4,south andaman ,20136,75411841
11,Andaman & Nicobar,2018,4,nicobars ,1485,7180859
12,Andaman & Nicobar,2019,1,north and middle andaman ,3264,9561709
13,Andaman & Nicobar,2019,1,south andaman ,25683,85501972
14,Andaman & Nicobar,2019,1,nicobars ,1539,7236060
15,Andaman & Nicobar,2019,2,north and middle andaman ,3371,8612103
16,Andaman & Nicobar,2019,2,south andaman ,28490,102530956
17,Andaman & Nicobar,2019,2,nicobars ,1828,9111651
18,Andaman & Nicobar,2019,3,north and middle andaman ,4049,11481466
19,Andaman & Nicobar,2019,3,south andaman ,27421,91023888
20,Andaman & Nicobar,2019,3,nicobars ,2300,11566421
21,Andaman & Nicobar,2019,4,north and middle andaman ,4716,13524057
22,Andaman & Nicobar,2019,4,south andaman ,27843,110930312
23,Andaman & Nicobar,2019,4,nicobars ,2600,12384162
24,Andaman & Nicobar,2020,1,north and middle andaman ,5674,14697372
25,Andaman & Nicobar,2020,1,south andaman ,32713,134679397
26,Andaman & Nicobar,2020,1,nicobars ,2911,12099544
27,Andaman & Nicobar,2020,2,north and middle andaman ,10979,22447714
28,Andaman & Nicobar,2020,2,south andaman ,48088,132855779
29,Andaman & Nicobar,2020,2,nicobars ,3895,14341509
30,Andaman & Nicobar,2020,3,north and middle andaman ,16747,33486883
31,Andaman & Nicobar,2020,3,south andaman ,95323,282366109
32,Andaman & Nicobar,2020,3,nicobars ,5413,22166454
33,Andaman & Nicobar,2020,4,north and middle andaman ,29349,68941322
34,Andaman & Nicobar,2020,4,south andaman ,186494,523122463
35,Andaman & Nicobar,2020,4,nicobars ,8688,35218871
36,Andaman & Nicobar,2021,1,north and middle andaman ,27358,75027255
37,Andaman & Nicobar,2021,1,south andaman ,207092,669604045
38,Andaman & Nicobar,2021,1,nicobars ,10302,39075267
39,Andaman & Nicobar,2021,2,north and middle andaman ,39200,90233389
40,Andaman & Nicobar,2021,2,south andaman ,286907,760893021
41,Andaman & Nicobar,2021,2,nicobars ,15307,48020607
42,Andaman & Nicobar,2021,3,north and middle andaman ,46592,118254866
43,Andaman & Nicobar,2021,3,south andaman ,382418,1116789011
44,Andaman & Nicobar,2021,3,nicobars ,20754,74980519
45,Andaman & Nicobar,2021,4,north and middle andaman ,53115,156486112
46,Andaman & Nicobar,2021,4,south andaman ,558571,1694794708
47,Andaman & Nicobar,2021,4,nicobars ,24437,81329281
48,Andaman & Nicobar,2022,1,north and middle andaman ,60059,161624879
49,Andaman & Nicobar,2022,1,south andaman ,705512,1872991196
50,Andaman & Nicobar,2022,1,nicobars ,29177,94414128
51,Andaman & Nicobar,2022,2,north and middle andaman ,72573,195693168
52,Andaman & Nicobar,2022,2,south andaman ,954875,2357326563
53,Andaman & Nicobar,2022,2,nicobars ,43769,132900619
54,Andaman & Nicobar,2022,3,north and middle andaman ,79574,211581970
55,Andaman & Nicobar,2022,3,south andaman ,1455255,2967719401
56,Andaman & Nicobar,2022,3,nicobars ,49550,131330401
57,Andaman & Nicobar,2022,4,north and middle andaman ,93297,241431284
