,State,Year,Quarter,District_pincode,Transaction_count,Transaction_amount
0,Andaman & Nicobar,2018,1,744101,1622,2769298
1,Andaman & Nicobar,2018,1,744103,1223,2238042
2,Andaman & Nicobar,2018,1,744102,969,3519060
3,Andaman & Nicobar,2018,1,744105,685,1298561
4,Andaman & Nicobar,2018,1,744104,340,1039715
5,Andaman & Nicobar,2018,1,744107,302,556060
6,Andaman & Nicobar,2018,1,744301,283,445739
7,Andaman & Nicobar,2018,1,744112,269,333710
8,Andaman & Nicobar,2018,1,744202,193,238914
9,Andaman & Nicobar,2018,1,744302,168,547470
10,Andaman & Nicobar,2018,2,744101,2701,6310090
11,Andaman & Nicobar,2018,2,744103,1965,4752147
12,Andaman & Nicobar,2018,2,744102,1525,5810268
13,Andaman & Nicobar,2018,2,744105,997,2200333
14,Andaman & Nicobar,2018,2,744301,767,1953749
15,Andaman & Nicobar,2018,2,744104,659,1650346
16,Andaman & Nicobar,2018,2,744107,594,1601570
17,Andaman & Nicobar,2018,2,744112,432,578829
18,Andaman & Nicobar,2018,2,744202,405,626524
19,Andaman & Nicobar,2018,2,744302,291,1026590
20,Andaman & Nicobar,2018,3,744101,3462,10833893
21,Andaman & Nicobar,2018,3,744103,3182,10184154
22,Andaman & Nicobar,2018,3,744102,2224,10365275
23,Andaman & Nicobar,2018,3,744105,1613,5152534
24,Andaman & Nicobar,2018,3,744104,1029,2588078
25,Andaman & Nicobar,2018,3,744301,975,4256576
26,Andaman & Nicobar,2018,3,744112,579,1145816
27,Andaman & Nicobar,2018,3,744107,547,1492405
28,Andaman & Nicobar,2018,3,744302,417,1976782
29,Andaman & Nicobar,2018,3,744202,341,2099404
30,Andaman & Nicobar,2018,4,744101,4674,16392855
31,Andaman & Nicobar,2018,4,744103,4576,17022520
32,Andaman & Nicobar,2018,4,744102,3306,17019977
33,Andaman & Nicobar,2018,4,744105,2513,9935283
34,Andaman & Nicobar,2018,4,744104,1432,6091758
35,Andaman & Nicobar,2018,4,744211,1225,3451360
36,Andaman & Nicobar,2018,4,744301,928,4606294
37,Andaman & Nicobar,2018,4,744112,759,2208675
38,Andaman & Nicobar,2018,4,744107,747,1825660
39,Andaman & Nicobar,2018,4,744202,702,3797054
40,Andaman & Nicobar,2019,1,744103,5742,19401965
